portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,A
Optimal Portfolio no_short,0.0769678342333924,0.004661557400754574,0.06827559886778418,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (47.38%); Infinity US 500 Stock Index SGD (27.90%); Amova Singapore Equity SGD (formerly Nikko AM) (19.89%),N/A,True,0.5226089343301032,0.04734363695159709,-0.12192421464682224,0.0,0.473837205666296,1.2595360638881066e-17,0.0,0.1988548062419151,0.2789705312798756,0.0,1.3295148682916e-18,0.0,0.04833745681191343,12.71
Optimal Portfolio no_short,0.07688498015880627,0.0046485195277940344,0.06818005227186347,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.46%); Infinity US 500 Stock Index SGD (27.86%); Amova Singapore Equity SGD (formerly Nikko AM) (19.86%),N/A,True,0.5222154873534761,0.0473203959620362,-0.12175607331771443,0.0,0.47462901217026215,1.5727507017189566e-17,5.618752444020563e-18,0.1985769317406213,0.2786152028424552,1.523322432062836e-18,9.46789024554666e-19,0.0,0.048178853246661366,12.72
Optimal Portfolio no_short,0.07688498015880627,0.0046485195277940344,0.06818005227186347,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.46%); Infinity US 500 Stock Index SGD (27.86%); Amova Singapore Equity SGD (formerly Nikko AM) (19.86%),N/A,True,0.5222154873534761,0.047297153364397236,-0.12175607331771443,0.0,0.47462901217026215,1.5727507017189566e-17,5.618752444020563e-18,0.1985769317406213,0.2786152028424552,1.523322432062836e-18,9.46789024554666e-19,0.0,0.048178853246661366,12.73
Optimal Portfolio no_short,0.0767881109675539,0.0046332989368130925,0.06806834019434507,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.56%); Infinity US 500 Stock Index SGD (27.81%); Amova Singapore Equity SGD (formerly Nikko AM) (19.82%),N/A,True,0.5219212763734353,0.0472739967400545,-0.12154302952247908,0.0,0.4756076195664881,2.0671612404433015e-17,0.0,0.1981627900728028,0.2780808735445873,9.95955794253454e-19,5.014759830224402e-18,0.0,0.04814871681612184,12.74
Optimal Portfolio no_short,0.0767881109675539,0.0046332989368130925,0.06806834019434507,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.56%); Infinity US 500 Stock Index SGD (27.81%); Amova Singapore Equity SGD (formerly Nikko AM) (19.82%),N/A,True,0.5219212763734353,0.04725083024537044,-0.12154302952247908,0.0,0.4756076195664881,2.0671612404433015e-17,0.0,0.1981627900728028,0.2780808735445873,9.95955794253454e-19,5.014759830224402e-18,0.0,0.04814871681612184,12.75
Optimal Portfolio no_short,0.07670568412569936,0.004620368989221912,0.06797329614798676,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,,United SGD Fund B Acc SGD (47.64%); Infinity US 500 Stock Index SGD (27.77%); Amova Singapore Equity SGD (formerly Nikko AM) (19.79%),N/A,True,0.521530391111228,0.04722772997446356,-0.12137567860032394,0.0,0.4763955061350917,3.935522149116763e-18,0.0,0.197886097391251,0.2777269747338753,3.520293553017909e-18,0.0,3.4298346105127506e-17,0.047991421739782034,12.76
Optimal Portfolio no_short,0.07670568412569936,0.004620368989221912,0.06797329614798676,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,,United SGD Fund B Acc SGD (47.64%); Infinity US 500 Stock Index SGD (27.77%); Amova Singapore Equity SGD (formerly Nikko AM) (19.79%),N/A,True,0.521530391111228,0.04720462812951745,-0.12137567860032394,0.0,0.4763955061350917,3.935522149116763e-18,0.0,0.197886097391251,0.2777269747338753,3.520293553017909e-18,0.0,3.4298346105127506e-17,0.047991421739782034,12.77
Optimal Portfolio no_short,0.07660951348190523,0.004605305512989503,0.06786240132053613,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.74%); Infinity US 500 Stock Index SGD (27.72%); Amova Singapore Equity SGD (formerly Nikko AM) (19.75%),N/A,True,0.5212379197467663,0.04718161125390231,-0.12116417011662817,0.0,0.47736694265945623,0.0,1.2306941485621424e-17,0.19747510701918974,0.27719679580989504,1.8304046566134068e-18,2.303153191249603e-18,3.330517916800868e-17,0.04796115451145895,12.78
Optimal Portfolio no_short,0.07660951348190523,0.004605305512989503,0.06786240132053613,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.74%); Infinity US 500 Stock Index SGD (27.72%); Amova Singapore Equity SGD (formerly Nikko AM) (19.75%),N/A,True,0.5212379197467663,0.047158584726337355,-0.12116417011662817,0.0,0.47736694265945623,0.0,1.2306941485621424e-17,0.19747510701918974,0.27719679580989504,1.8304046566134068e-18,2.303153191249603e-18,3.330517916800868e-17,0.04796115451145895,12.79
Optimal Portfolio no_short,0.07652750768312984,0.004592481847828532,0.06776785261337806,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (47.82%); Infinity US 500 Stock Index SGD (27.68%); Amova Singapore Equity SGD (formerly Nikko AM) (19.72%),N/A,True,0.5208495714819862,0.04713562385702723,-0.12099759717353775,0.0,0.47815096970912974,0.0,1.2663223040535527e-17,0.1971995740518342,0.27684429606212974,0.0,6.312707844181203e-18,0.0,0.04780516017690644,12.8
