portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return bounded_short,0.06362677596782494,0.0016644841899835906,0.040798090518841576,1.0,1.2,1.4,0.20000000000000007,0.06362677596782094,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (23.90%),First Sentier Global Property Securities A Acc SGD (-17.66%); AB FCP I Global High Yield A2 SGD-H (-2.34%),False,0.4590984349523249,,-0.06180490009263084,0.35,0.35,0.08476871308070193,-0.023437415817316596,0.1418420492262354,0.2389875848449983,1.1720152477679204e-06,3.508924923383479e-07,-0.17656258418268347,0.03440012994032423,bounded_short
Target Return bounded_short,0.06530905865860606,0.0017805705744994313,0.04219680763398377,1.0000000000000002,1.2000000000000002,1.4000000000000001,0.20000000000000004,0.06530905865850506,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (24.92%),First Sentier Global Property Securities A Acc SGD (-18.31%); AB FCP I Global High Yield A2 SGD-H (-1.69%),False,0.457583442719546,,-0.06495670079735627,0.35,0.35,0.0701066630436845,-0.016923219744716105,0.1445127439138761,0.24923828877176302,2.6609965631636218e-05,1.2970230509411781e-06,-0.18307678025528393,0.036114397281993865,bounded_short
Target Return bounded_short,0.0669913413492181,0.0019015914469056791,0.043607240762351375,1.0,1.2,1.4,0.19999999999999993,0.06699134134918917,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (25.90%),First Sentier Global Property Securities A Acc SGD (-18.81%); AB FCP I Global High Yield A2 SGD-H (-1.19%); Fidelity World A-ACC-SGD (-0.00%),False,0.45619159203003085,,-0.06814176796056404,0.35,0.35,0.055166601521212215,-0.011911202916501305,0.14789607877023236,0.2590139132249752,-2.085320100377381e-06,9.199994694323807e-05,-0.18808671176339825,0.03783140653663704,bounded_short
Target Return bounded_short,0.06867362403992079,0.002027739996659149,0.04503043411581937,1.0,1.2,1.3999999999999997,0.1999999999999999,0.06867362403987329,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (26.77%),First Sentier Global Property Securities A Acc SGD (-19.01%); AB FCP I Global High Yield A2 SGD-H (-0.99%); Schroder ISF Asian Opportunities A Acc SGD (-0.00%),False,0.454916133209892,,-0.0714181830216507,0.35,0.35,0.03972110098164307,-0.009913560737838641,0.1529945386336049,0.2677414855152158,2.64620025459513e-06,-4.741254583225316e-07,-0.19008596513670292,0.03954022866928164,bounded_short
Target Return bounded_short,0.0703559067305578,0.0021582773648695583,0.046457263854746744,1.0,1.2000000000873325,1.400000000174665,0.20000000008733243,0.07035590673055742,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (28.00%),First Sentier Global Property Securities A Acc SGD (-19.95%); AB FCP I Global High Yield A2 SGD-H (-0.05%),False,0.45299813735374295,,-0.07433635349602774,0.35,0.35,0.0257393875092709,-0.0004866191996277451,0.15301183719066364,0.27995135357766643,1.652380103883519e-08,8.733244987815661e-11,-0.19951338088770468,0.04129740519859811,bounded_short
Target Return bounded_short,0.07203818942127621,0.0022947459840015603,0.047903507011507626,1.0,1.2000000000000002,1.4,0.2,0.07203818942124152,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (28.92%),First Sentier Global Property Securities A Acc SGD (-20.00%),False,0.45171286168617236,,-0.07749611679747415,0.35,0.35,0.010176054904537005,8.468974219827397e-17,0.15756108316293319,0.289188230375825,3.036075426270826e-06,1.9116252662450128e-06,-0.2,0.0430696838560124,bounded_short
Target Return bounded_short,0.07372047211192567,0.0024455933622731566,0.049452940885989345,1.0000000000000002,1.1999999961485333,1.3999999922970663,0.1999999961485331,0.07372047211192564,United SGD Fund B Acc SGD (35.00%); LionGlobal SGD Money Market A Acc SGD (34.70%); Infinity US 500 Stock Index SGD (30.54%),First Sentier Global Property Securities A Acc SGD (-20.00%); AB FCP I Global High Yield A2 SGD-H (-0.00%),False,0.4529633100486423,,-0.079147491060226,0.34699116147634945,0.34999998180344577,-7.80140100356276e-11,-1.2648674730814374e-08,0.14954747158428472,0.30541947472356057,-1.7236304171658091e-09,1.8855575176996442e-08,-0.19999998169821392,0.048041887705317525,bounded_short
Target Return bounded_short,0.07540275480260977,0.0026265292075246757,0.05124967519433343,1.0,1.2000000024079025,1.4000000048158048,0.2000000024079024,0.07540275480260974,United SGD Fund B Acc SGD (35.00%); LionGlobal SGD Money Market A Acc SGD (33.14%); Infinity US 500 Stock Index SGD (31.35%),First Sentier Global Property Securities A Acc SGD (-20.00%); AB FCP I Global High Yield A2 SGD-H (-0.00%),False,0.4589054836991299,,-0.08271183467730259,0.33138511150705924,0.34999998754625566,-6.8853533573568396e-09,-1.0509602179970735e-08,0.15555456928101832,0.3134754538217971,-4.0670970935276695e-09,7.591697698263983e-10,-0.19999998094584975,0.04958487949260246,bounded_short
Target Return bounded_short,0.07708503749294772,0.0028151693709978676,0.05305816969136674,0.9999999999999999,1.2,1.4,0.20000000000000004,0.07708503749329387,United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (32.17%); LionGlobal SGD Money Market A Acc SGD (31.58%),First Sentier Global Property Securities A Acc SGD (-19.99%); AB FCP I Global High Yield A2 SGD-H (-0.01%),False,0.4648605843457219,,-0.0862479365479657,0.3157668260820072,0.35,2.217390811542574e-05,-0.00012533721443769787,0.16138447328947206,0.32165205540922737,1.647767253596812e-05,4.12438016907344e-06,-0.19987466278556235,0.05115386925847289,bounded_short
Target Return bounded_short,0.07876732018411611,0.0030109584654857712,0.05487220120867917,1.0,1.2,1.4,0.19999999999999998,0.07876732018397799,United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (33.00%); LionGlobal SGD Money Market A Acc SGD (30.02%),First Sentier Global Property Securities A Acc SGD (-20.00%); AB FCP I Global High Yield A2 SGD-H (-0.00%),False,0.47072103053150094,,-0.08976474620751107,0.3002465066064692,0.35,1.460502513905969e-07,-1.3965134569874825e-07,0.16703808687447577,0.3299783057962396,1.750560278507018e-05,2.4615751446764044e-07,-0.19999986034865427,0.05271920291226442,bounded_short
